region,year,percentage,source
Bolivia (Plurin. State of),2016,39.6975,International Telecommunication Union (ITU)
Bolivia (Plurin. State of),2017,43.8323,International Telecommunication Union (ITU)
Bolivia (Plurin. State of),2018,44.2861,International Telecommunication Union (ITU)
Bosnia and Herzegovina,2000,1.083,International Telecommunication Union (ITU)
Bosnia and Herzegovina,2005,21.3267,International Telecommunication Union (ITU)
Bosnia and Herzegovina,2010,42.75,International Telecommunication Union (ITU)
Bosnia and Herzegovina,2015,52.6,International Telecommunication Union (ITU)
Bosnia and Herzegovina,2016,60.2565,International Telecommunication Union (ITU)
Bosnia and Herzegovina,2017,64.892,International Telecommunication Union (ITU)
Bosnia and Herzegovina,2018,70.1201,International Telecommunication Union (ITU)
Botswana,2000,2.9027,International Telecommunication Union (ITU)
Botswana,2005,3.2626,International Telecommunication Union (ITU)
Botswana,2010,6,International Telecommunication Union (ITU)
Botswana,2015,37.3121,International Telecommunication Union (ITU)
Botswana,2016,39.363,International Telecommunication Union (ITU)
Botswana,2017,47,International Telecommunication Union (ITU)
Brazil,2000,2.8707,International Telecommunication Union (ITU)
Brazil,2005,21.0227,International Telecommunication Union (ITU)
Brazil,2010,40.65,International Telecommunication Union (ITU)
Brazil,2015,58.328,International Telecommunication Union (ITU)
Brazil,2016,60.8725,International Telecommunication Union (ITU)
Brazil,2017,67.4713,International Telecommunication Union (ITU)
Brazil,2018,70.4343,International Telecommunication Union (ITU)
British Virgin Islands,2010,37,International Telecommunication Union (ITU)
British Virgin Islands,2016,77.7014,International Telecommunication Union (ITU)
British Virgin Islands,2017,77.7043,International Telecommunication Union (ITU)
Brunei Darussalam,2000,8.9963,International Telecommunication Union (ITU)
Brunei Darussalam,2005,36.4664,International Telecommunication Union (ITU)
Brunei Darussalam,2010,53,International Telecommunication Union (ITU)
Brunei Darussalam,2015,71.2,International Telecommunication Union (ITU)
Brunei Darussalam,2016,90,International Telecommunication Union (ITU)
Brunei Darussalam,2017,94.8667,International Telecommunication Union (ITU)
Bulgaria,2000,5.3709,International Telecommunication Union (ITU)
Bulgaria,2005,19.97,International Telecommunication Union (ITU)
Bulgaria,2010,46.23,International Telecommunication Union (ITU)
Bulgaria,2015,56.6563,International Telecommunication Union (ITU)
Bulgaria,2016,59.8255,International Telecommunication Union (ITU)
Bulgaria,2017,63.4101,International Telecommunication Union (ITU)
Bulgaria,2018,64.782,International Telecommunication Union (ITU)
Burkina Faso,2000,0.0771,International Telecommunication Union (ITU)
Burkina Faso,2005,0.4699,International Telecommunication Union (ITU)
Burkina Faso,2010,2.4,International Telecommunication Union (ITU)
Burkina Faso,2015,14,International Telecommunication Union (ITU)
Burkina Faso,2016,13.96,International Telecommunication Union (ITU)
Burkina Faso,2017,16,International Telecommunication Union (ITU)
Burundi,2000,0.0772,International Telecommunication Union (ITU)
Burundi,2005,0.5421,International Telecommunication Union (ITU)
Burundi,2010,1,International Telecommunication Union (ITU)
Burundi,2015,4.8662,International Telecommunication Union (ITU)
Burundi,2016,5.1736,International Telecommunication Union (ITU)
Burundi,2017,2.6607,International Telecommunication Union (ITU)
Cabo Verde,2000,1.8224,International Telecommunication Union (ITU)
Cabo Verde,2005,6.0741,International Telecommunication Union (ITU)
Cabo Verde,2010,30,International Telecommunication Union (ITU)
Cabo Verde,2015,42.68,International Telecommunication Union (ITU)
Cabo Verde,2016,50.3228,International Telecommunication Union (ITU)
Cabo Verde,2017,57.1621,International Telecommunication Union (ITU)
Cambodia,2000,0.047,International Telecommunication Union (ITU)
Cambodia,2005,0.3173,International Telecommunication Union (ITU)
Cambodia,2010,1.26,International Telecommunication Union (ITU)
Cambodia,2015,6.4332,International Telecommunication Union (ITU)
Cambodia,2016,32.3985,International Telecommunication Union (ITU)
Cambodia,2017,32.4469,International Telecommunication Union (ITU)
Cambodia,2018,40,International Telecommunication Union (ITU)
Cameroon,2000,0.2521,International Telecommunication Union (ITU)
Cameroon,2005,1.4027,International Telecommunication Union (ITU)
Cameroon,2010,4.3,International Telecommunication Union (ITU)
Cameroon,2015,20.6801,International Telecommunication Union (ITU)
Cameroon,2016,23.203,International Telecommunication Union (ITU)
Cameroon,2017,23.203,International Telecommunication Union (ITU)
Canada,2000,51.3,International Telecommunication Union (ITU)
Canada,2005,71.66,International Telecommunication Union (ITU)
Canada,2010,80.3,International Telecommunication Union (ITU)
Canada,2015,90,International Telecommunication Union (ITU)
Canada,2016,91.16,International Telecommunication Union (ITU)
Canada,2017,91,International Telecommunication Union (ITU)
Cayman Islands,2005,38.0344,International Telecommunication Union (ITU)
Cayman Islands,2010,66,International Telecommunication Union (ITU)
Cayman Islands,2015,77,International Telecommunication Union (ITU)
Cayman Islands,2016,79,International Telecommunication Union (ITU)
Cayman Islands,2017,81.0677,International Telecommunication Union (ITU)
Central African Republic,2000,0.0534,International Telecommunication Union (ITU)
Central African Republic,2005,0.2682,International Telecommunication Union (ITU)
Central African Republic,2010,2,International Telecommunication Union (ITU)
Central African Republic,2015,3.8,International Telecommunication Union (ITU)
Central African Republic,2016,4,International Telecommunication Union (ITU)
Central African Republic,2017,4.3393,International Telecommunication Union (ITU)
Chad,2000,0.0357,International Telecommunication Union (ITU)
Chad,2005,0.3993,International Telecommunication Union (ITU)
Chad,2010,1.7,International Telecommunication Union (ITU)
Chad,2015,3.5,International Telecommunication Union (ITU)
Chad,2016,5,International Telecommunication Union (ITU)
Chad,2017,6.5,International Telecommunication Union (ITU)
Chile,2000,16.6,International Telecommunication Union (ITU)
Chile,2005,31.1753,International Telecommunication Union (ITU)
Chile,2010,45,International Telecommunication Union (ITU)
Chile,2015,76.63,International Telecommunication Union (ITU)
Chile,2016,83.5586,International Telecommunication Union (ITU)
Chile,2017,82.3275,International Telecommunication Union (ITU)
China,2000,1.7759,International Telecommunication Union (ITU)
China,2005,8.5233,International Telecommunication Union (ITU)
China,2010,34.3,International Telecommunication Union (ITU)
China,2015,50.3,International Telecommunication Union (ITU)
China,2016,53.2,International Telecommunication Union (ITU)
China,2017,54.3,International Telecommunication Union (ITU)
"China, Hong Kong SAR",2000,27.8278,International Telecommunication Union (ITU)
"China, Hong Kong SAR",2005,56.9,International Telecommunication Union (ITU)
"China, Hong Kong SAR",2010,72,International Telecommunication Union (ITU)
"China, Hong Kong SAR",2015,84.9484,International Telecommunication Union (ITU)
"China, Hong Kong SAR",2016,87.4794,International Telecommunication Union (ITU)
"China, Hong Kong SAR",2017,89.4159,International Telecommunication Union (ITU)
"China, Hong Kong SAR",2018,90.5074,International Telecommunication Union (ITU)
"China, Macao SAR",2000,13.6086,International Telecommunication Union (ITU)
"China, Macao SAR",2005,34.8629,International Telecommunication Union (ITU)
"China, Macao SAR",2010,55.198,International Telecommunication Union (ITU)
"China, Macao SAR",2015,77.6001,International Telecommunication Union (ITU)
"China, Macao SAR",2016,81.643,International Telecommunication Union (ITU)
"China, Macao SAR",2017,83.1741,International Telecommunication Union (ITU)
"China, Macao SAR",2018,83.7941,International Telecommunication Union (ITU)
Colombia,2000,2.2075,International Telecommunication Union (ITU)
Colombia,2005,11.0073,International Telecommunication Union (ITU)
Colombia,2010,36.5,International Telecommunication Union (ITU)
Colombia,2015,55.905,International Telecommunication Union (ITU)
Colombia,2016,58.1365,International Telecommunication Union (ITU)
Colombia,2017,62.2599,International Telecommunication Union (ITU)
Colombia,2018,64.1264,International Telecommunication Union (ITU)
Comoros,2000,0.2717,International Telecommunication Union (ITU)
Comoros,2005,2,International Telecommunication Union (ITU)
Comoros,2010,5.1,International Telecommunication Union (ITU)
Comoros,2015,7.4592,International Telecommunication Union (ITU)
Comoros,2016,7.9383,International Telecommunication Union (ITU)
Comoros,2017,8.4782,International Telecommunication Union (ITU)
Congo,2000,0.0264,International Telecommunication Union (ITU)
Congo,2005,1.4634,International Telecommunication Union (ITU)
Congo,2010,5,International Telecommunication Union (ITU)
Congo,2015,7.616,International Telecommunication Union (ITU)
Congo,2016,8.1219,International Telecommunication Union (ITU)
Congo,2017,8.65,International Telecommunication Union (ITU)
